__id;Geo Point;Geo Shape;gml_id;objectid;id_voie;nom_voie;code_insee;nom_commune;type;nom;domaine;surface;nb_pl;categorie;payant;handicape;commentaire;projet_final;tranche_icu;potentiel_photovoltaique;audiar_score_simple;planification
14;48.125241338547056, -1.5996960120744774;"{""coordinates"": [[-1.599696012074477, 48.125241338547056]], ""type"": ""MultiPoint""}";v_parking.5269;5269;7187;Rue de la Chalotais;35051;Cesson-Sévigné;Parking usuel;;Public intercommunal;695;30;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Inférieur à 36 kWc;4;Non renseigné
22;47.97889700678545, -1.7265156996712379;"{""coordinates"": [[-1.726515699671238, 47.97889700678545]], ""type"": ""MultiPoint""}";v_parking.5320;5320;8143;Rue de l'Horizon;35139;Laillé;Parking usuel;;Public intercommunal;120;6;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
24;47.99233270619718, -1.6092154859217453;"{""coordinates"": [[-1.609215485921745, 47.99233270619718]], ""type"": ""MultiPoint""}";v_parking.5331;5331;44;Rue de la Mésange Bleue;35032;Bourgbarré;Parking usuel;;Public intercommunal;150;9;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
29;47.975213950162185, -1.586000790099016;"{""coordinates"": [[-1.586000790099016, 47.975213950162185]], ""type"": ""MultiPoint""}";v_parking.5356;5356;383;Rue Monseigneur Guichard;35088;Corps-Nuds;Parking usuel;;Public intercommunal;80;4;Moins de 50 places;Non;Non;;Dérogation contrainte d'urbanisme;Non renseigné;Ensoleillement insuffisant;0;Non renseigné
34;48.29695015418191, -1.9448157090274432;"{""coordinates"": [[-1.944815709027443, 48.29695015418191]], ""type"": ""MultiPoint""}";v_parking.5388;5388;19219;Place Tanguy de Kernier;35022;Bécherel;Parking usuel;;Public intercommunal;1100;25;Moins de 50 places;Non renseigné;Non renseigné;;Dérogation contrainte d'urbanisme;Non renseigné;De 36 à 100 kWc;6;Non renseigné
35;48.29915610185746, -1.9410880981668792;"{""coordinates"": [[-1.941088098166879, 48.29915610185746]], ""type"": ""MultiPoint""}";v_parking.5397;5397;19288;Résidence les Saules;35022;Bécherel;Parking usuel;;Public intercommunal;50;4;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
36;48.28519890689357, -1.9286930647051739;"{""coordinates"": [[-1.928693064705174, 48.28519890689357]], ""type"": ""MultiPoint""}";v_parking.5398;5398;19254;Lotissement du Roset;35180;Miniac-sous-Bécherel;Parking usuel;;Public intercommunal;510;10;Moins de 50 places;Non;Non;absence de marquage au sol;Dérogation économique (score < 5);Non renseigné;Inférieur à 36 kWc;4;Non renseigné
37;48.28402598507941, -1.9330025907590804;"{""coordinates"": [[-1.93300259075908, 48.28402598507941]], ""type"": ""MultiPoint""}";v_parking.5400;5400;19285;Rue de la Fontaine;35180;Miniac-sous-Bécherel;Parking usuel;;Public intercommunal;330;12;Moins de 50 places;Non;Oui;;Dérogation enjeu biodiversité;Non renseigné;Ensoleillement insuffisant;0;Non renseigné
39;48.19060944767528, -1.6283502286749523;"{""coordinates"": [[-1.628350228674952, 48.19060944767528]], ""type"": ""MultiPoint""}";v_parking.5408;5408;5834;Rue des Bateliers;35024;Betton;Parking usuel;;Public intercommunal;270;11;Moins de 50 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 3°;Inférieur à 36 kWc;4;Non renseigné
40;48.1351831927127, -1.5364460917671698;"{""coordinates"": [[-1.53644609176717, 48.1351831927127]], ""type"": ""MultiPoint""}";v_parking.5411;5411;6889;Rue Louise de Kermarrec;35001;Acigné;Parking usuel;;Public intercommunal;80;5;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
42;48.09548622642291, -1.7932177205481679;"{""coordinates"": [[-1.793217720548168, 48.09548622642291]], ""type"": ""MultiPoint""}";v_parking.5425;5425;18901;Rue Rosa Parks;35240;le Rheu;Parking usuel;;Public intercommunal;1000;39;Moins de 50 places;Non renseigné;Non renseigné;longitudinal sur voie;Ombrière photovoltaïque;Inférieur à 2°;De 36 à 100 kWc;5;Non renseigné
43;48.100817084620545, -1.7867785866607335;"{""coordinates"": [[-1.786778586660734, 48.100817084620545]], ""type"": ""MultiPoint""}";v_parking.5430;5430;3631;Mail Gaston Bardet;35240;le Rheu;Parking usuel;;Public intercommunal;1000;28;Moins de 50 places;Non renseigné;Non renseigné;bataille;Ombrière photovoltaïque;Inférieur à 3°;De 36 à 100 kWc;5;Non renseigné
44;48.10260718354848, -1.7879895210885608;"{""coordinates"": [[-1.787989521088561, 48.10260718354848]], ""type"": ""MultiPoint""}";v_parking.5435;5435;3631;Mail Gaston Bardet;35240;le Rheu;Parking usuel;;Public intercommunal;1000;19;Moins de 50 places;Non;Oui;bataille;Ombrière photovoltaïque;Inférieur à 3°;De 36 à 100 kWc;6;Non renseigné
45;48.10151400099617, -1.7954818339949785;"{""coordinates"": [[-1.795481833994979, 48.10151400099617]], ""type"": ""MultiPoint""}";v_parking.5440;5440;3672;Passage des Sports;35240;le Rheu;Parking usuel;;Public intercommunal;1000;16;Moins de 50 places;Non;Oui;placette;Dérogation économique (score < 5);Inférieur à 4°;Non renseigné;;Non renseigné
46;48.18187900171051, -1.64540731947975;"{""coordinates"": [[-1.64540731947975, 48.18187900171051]], ""type"": ""MultiPoint""}";v_parking.5443;5443;5864;Rue du Clos de la Quintaine;35024;Betton;Parking usuel;;Public intercommunal;105;7;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
47;48.0986682185614, -1.7977158416622383;"{""coordinates"": [[-1.797715841662238, 48.0986682185614]], ""type"": ""MultiPoint""}";v_parking.5448;5448;3664;Résidence de la Noë;35240;le Rheu;Parking usuel;;Public intercommunal;300;9;Moins de 50 places;Non;Non renseigné;;Dérogation économique (score < 5);Inférieur à 4°;Non renseigné;;Non renseigné
48;48.184527115153585, -1.6521514403256878;"{""coordinates"": [[-1.652151440325688, 48.184527115153585]], ""type"": ""MultiPoint""}";v_parking.5452;5452;5982;Rue du Trégor;35024;Betton;Parking usuel;;Public intercommunal;270;11;Moins de 50 places;Non;Non;;Dérogation gisement foncier;Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
