id;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Code Departement;Nom Departement;Code Region;Nom Region;Geo Shape;Geo Point;X;Y
1;35216;Parthenay-de-Bretagne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.823862223305649, 48.192293320337576]}";48.192293320337576, -1.8238622233056487;341766,7278;6798938,814
2;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.691247353008904, 48.101355912552194]}";48.101355912552194, -1.6912473530089043;351003,2555;6788257,133
3;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.698245964829212, 48.10876199370177]}";48.10876199370177, -1.6982459648292123;350532,1622;6789109,667
4;35066;Chartres-de-Bretagne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.713383033198294, 48.05931779410833]}";48.05931779410833, -1.7133830331982942;349079,7745;6783691,911
5;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.78269790642698, 47.952610754327104]}";47.952610754327104, -1.7826979064269801;343207,6539;6772166,402
6;35023;Bedee;243500550;CC Montfort Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.923388071684518, 48.20543896499017]}";48.20543896499017, -1.9233880716845184;334476,1816;6800853,115
7;35210;Pace;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.809714301637857, 48.165383347049655]}";48.165383347049655, -1.809714301637857;342634,0379;6795889,622
8;35120;Geveze;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.781233310446489, 48.22375642175414]}";48.22375642175414, -1.781233310446489;345140,181;6802236,592
9;35024;Betton;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.626832260059013, 48.16336161826486]}";48.16336161826486, -1.6268322600590133;356193,3121;6794853,36
10;35210;Pace;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.76129758481305, 48.144071571102266]}";48.144071571102266, -1.7612975848130499;346084,3321;6793307,455
11;35047;Bruz;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.770429292103668, 48.011115884627635]}";48.011115884627635, -1.7704292921036677;344514,3055;6778600,318
12;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.652797418777345, 48.135739210974876]}";48.135739210974876, -1.652797418777345;354085,3642;6791902,296
13;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.733664294602865, 48.10096985546438]}";48.10096985546438, -1.7336642946028649;347848,9186;6788402,628
14;35278;Saint-Gregoire;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.687429270345827, 48.15925258928115]}";48.15925258928115, -1.6874292703458271;351668,6854;6794663,08
15;35278;Saint-Gregoire;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.676643236222683, 48.1605537604342]}";48.1605537604342, -1.6766432362226826;352477,8358;6794759,904
16;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.678570657606759, 48.087139774166495]}";48.087139774166495, -1.6785706576067594;351851,659;6786624,129
17;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.733121589984267, 48.10665770780471]}";48.10665770780471, -1.7331215899842667;347927,1092;6789031,161
